# NOTE (iter26): the high-FOM high-k entries here (e.g. [[360,80,8]] FOM=14.2) are ISD@300 UPPER bounds that high-iter ISD@3000 RETRACTS to d=2 — undertraining artifacts, NOT confirmed codes. See audit-vs-paper/EVOLUTION_FINDING.md.
n	k	d	fom	wt	l	m
360	80	8	14.2222	12	15	12
360	80	6	8.0000	12	15	12
288	4	22	6.7222	6	24	6
288	104	4	5.7778	12	24	6
360	128	4	5.6889	12	30	6
360	4	22	5.3778	6	15	12
288	92	4	5.1111	12	16	9
288	16	9	4.5000	12	18	8
360	4	20	4.4444	6	15	12
288	78	4	4.3333	12	16	9
144	64	3	4.0000	12	12	6
144	4	12	4.0000	6	12	6
144	64	3	4.0000	12	6	12
288	32	6	4.0000	12	18	8
360	4	18	3.6000	6	30	6
288	4	16	3.5556	6	12	12
288	16	8	3.5556	6	24	6
144	56	3	3.5000	12	12	6
288	112	3	3.5000	12	24	6
360	136	3	3.4000	12	30	6
360	8	12	3.2000	6	15	12
360	16	8	2.8444	6	30	6
144	44	3	2.7500	12	6	12
288	88	3	2.7500	12	12	12
288	198	2	2.7500	12	16	9
144	8	7	2.7222	5	6	12
288	16	7	2.7222	5	12	12
288	16	7	2.7222	5	24	6
360	8	10	2.2222	6	30	6
144	78	2	2.1667	8	12	6
288	68	3	2.1250	12	12	12
288	150	2	2.0833	8	24	6
360	186	2	2.0667	8	30	6
288	16	6	2.0000	6	12	12
288	16	6	2.0000	12	18	8
144	16	4	1.7778	6	12	6
144	16	4	1.7778	5	12	6
144	16	4	1.7778	6	6	12
144	4	8	1.7778	6	6	12
288	8	8	1.7778	6	24	6
360	4	12	1.6000	5	15	12
288	24	4	1.3333	12	12	12
360	8	7	1.0889	5	30	6
288	8	6	1.0000	6	12	12
144	8	4	0.8889	6	12	6
144	8	4	0.8889	6	6	12
144	24	2	0.6667	12	6	12
360	24	3	0.6000	12	15	12
