n	k	d	fom	l	m	A	B	wt	fam	C	D
384	288	180	24300.0000	8	24	x^0*y^0+x^0*y^12+x^4*y^0+x^4*y^12		4	css		
480	288	184	20313.6000	8	30	x^0*y^0+x^0*y^6+x^4*y^0+x^4*y^6		4	css		
420	280	174	20184.0000	21	10	x^0*y^0+x^0*y^5+x^7*y^0+x^7*y^5		4	css		
480	280	183	19535.2500	60	4	x^0*y^0+x^0*y^2+x^10*y^0+x^10*y^2		4	css		
460	276	172	17750.4000	5	46	x^0*y^0+x^0*y^23+x^3*y^0+x^3*y^23		4	css		
408	272	167	18592.6667	51	4	x^0*y^0+x^0*y^2+x^34*y^0+x^34*y^2		4	css		
504	270	175	16406.2500	18	14	x^0*y^0+x^0*y^1+x^9*y^0+x^9*y^1		4	css		
504	266	175	16163.1944	18	14	x^0*y^0+x^0*y^7+x^1*y^0+x^1*y^7		4	css		
440	264	172	17750.4000	44	5	x^0*y^0+x^0*y^4+x^22*y^0+x^22*y^4		4	css		
516	264	178	16210.4186	6	43	x^0*y^0+x^0*y^16+x^3*y^0+x^3*y^16		4	css		
480	260	167	15106.5417	24	10	x^0*y^0+x^0*y^5+x^10*y^0+x^10*y^5		4	css		
500	260	168	14676.4800	25	10	x^0*y^0+x^0*y^5+x^4*y^0+x^4*y^5		4	css		
480	256	156	12979.2000	60	4	x^0*y^0+x^0*y^2+x^28*y^0+x^28*y^2		4	css		
336	252	159	18960.7500	6	28	x^0*y^0+x^0*y^14+x^3*y^0+x^3*y^14		4	css		
448	252	162	14762.2500	28	8	x^0*y^0+x^0*y^7+x^14*y^0+x^14*y^7		4	css		
468	252	161	13957.4615	18	13	x^0*y^0+x^0*y^11+x^9*y^0+x^9*y^11		4	css		
420	252	152	13862.4000	35	6	x^0*y^0+x^0*y^3+x^7*y^0+x^7*y^3		4	css		
400	240	152	13862.4000	50	4	x^0*y^0+x^0*y^2+x^30*y^0+x^30*y^2		4	css		
384	240	147	13505.6250	4	48	x^0*y^0+x^0*y^36+x^2*y^0+x^2*y^36		4	css		
420	240	152	13202.2857	10	21	x^0*y^0+x^0*y^9+x^5*y^0+x^5*y^9		4	css		
460	240	156	12697.0435	10	23	x^0*y^0+x^0*y^8+x^5*y^0+x^5*y^8		4	css		
456	240	155	12644.7368	57	4	x^0*y^0+x^0*y^2+x^45*y^0+x^45*y^2		4	css		
464	240	152	11950.3448	4	58	x^0*y^0+x^0*y^4+x^2*y^0+x^2*y^4		4	css		
448	240	149	11893.3929	56	4	x^0*y^0+x^0*y^2+x^36*y^0+x^36*y^2		4	css		
464	236	157	12536.9914	4	58	x^0*y^0+x^0*y^25+x^2*y^0+x^2*y^25		4	css		
456	232	150	11447.3684	57	4	x^0*y^0+x^0*y^2+x^23*y^0+x^23*y^2		4	css		
448	232	145	10887.9464	56	4	x^0*y^0+x^0*y^2+x^10*y^0+x^10*y^2		4	css		
380	228	143	12269.4000	5	38	x^0*y^0+x^0*y^19+x^3*y^0+x^3*y^19		4	css		
432	228	145	11096.5278	54	4	x^0*y^0+x^0*y^2+x^39*y^0+x^39*y^2		4	css		
444	228	145	10796.6216	37	6	x^0*y^0+x^0*y^3+x^15*y^0+x^15*y^3		4	css		
448	228	145	10700.2232	4	56	x^0*y^0+x^0*y^13+x^2*y^0+x^2*y^13		4	css		
512	224	178	13861.7500	16	16	x^0*y^0+x^0*y^12+x^12*y^0+x^12*y^12	x^0*y^0+x^0*y^8+x^8*y^0+x^8*y^8	8	css		
504	224	171	12996.0000	42	6	x^0*y^0+x^0*y^1+x^28*y^0+x^28*y^1	x^0*y^0+x^0*y^2+x^14*y^0+x^14*y^2	8	css		
440	224	150	11454.5455	4	55	x^0*y^0+x^0*y^3+x^2*y^0+x^2*y^3		4	css		
480	224	154	11067.4667	40	6	x^0*y^0+x^0*y^4+x^8*y^0+x^8*y^4	x^0*y^0+x^0*y^2+x^16*y^0+x^16*y^2	8	css		
432	224	140	10162.9630	27	8	x^0*y^0+x^0*y^4+x^11*y^0+x^11*y^4		4	css		
432	222	146	10954.0556	36	6	x^0*y^0+x^0*y^3+x^29*y^0+x^29*y^3		4	css		
396	220	144	11520.0000	22	9	x^0*y^0+x^0*y^7+x^11*y^0+x^11*y^7		4	css		
504	216	166	11809.7143	6	42	x^0*y^0+x^0*y^6+x^4*y^0+x^4*y^6	x^0*y^0+x^0*y^12+x^2*y^0+x^2*y^12	8	css		
384	216	142	11342.2500	32	6	x^0*y^0+x^0*y^3+x^12*y^0+x^12*y^3		4	css		
